Experiment,Cities,Greedy_Dist,Greedy_Time(s),SA_Dist,SA_Time(s)
1,10,3.333736367155055,0.001,2.6777410104073573,0.23
2,20,4.12114364907481,0.002,3.8258726872361777,0.152
3,30,5.015122667508172,0.003,4.849748058629489,0.148
4,40,6.679404502864505,0.001,5.94264590099062,0.146
5,50,6.817380372742421,0.002,6.117726732628554,0.146
6,60,6.966076161934635,0.002,6.3650519640737695,0.148
7,70,8.724543772853337,0.003,7.6567365414883595,0.15
8,80,8.329952900352835,0.004,7.789666794138481,0.15
9,90,8.624074591243131,0.004,9.016511253200848,0.152
10,100,10.275962297788055,0.006,9.85609060538046,0.161
